frame,time_ms,plasma_current_a_boundary,p_persistence_nrmse,p_prior_nrmse,p_posterior_nrmse,ff_persistence_nrmse,ff_prior_nrmse,ff_posterior_nrmse,joint_persistence_nrmse,joint_prior_nrmse,joint_posterior_nrmse,psi_transport_nrmse,innovation_prior_rms,innovation_posterior_rms,widened_channels
179,3880.0,1195731.5598726273,0.9738425954500891,0.9738425954500891,0.9501968090479918,0.7753375097566876,0.5732278533488624,0.573273275076355,0.8802038555779756,0.7990493015352403,0.7847025627082391,0.6500161077887975,0.5980202204331446,0.5979008403768965,0
187,4040.0,1181790.5288934708,0.8946707108894687,0.8946707108894687,0.8612810393191486,0.7087022200906911,0.5228869472809139,0.5231255577642462,0.8070608767884061,0.7327504488433358,0.7125536393412171,0.761602902798931,1.3305797919339364,1.3161451624940905,0
194,4180.0,1190504.8294067383,1.0535690421342987,1.0535690421342987,1.0243935065248206,0.8859962283818633,0.6858421485956644,0.6859977803876822,0.9733953573062363,0.8889283377567905,0.8717726225648075,0.7651973091403926,1.3124597793415433,1.2485896035018784,1
201,4320.0,1181756.5857172012,0.873639130285285,0.873639130285285,0.8342230625809521,0.6938090262626616,0.4969465612818107,0.4971176856792749,0.7888651009168715,0.7107043037492616,0.6866782767632384,0.9044859971533018,0.5281238428970827,0.5275555634719632,1
208,4480.0,1190301.3397455215,0.9070767142577921,0.9070767142577921,0.8654949203805908,0.7077354440020439,0.5109691346346634,0.5112627342586297,0.8135347639300617,0.736164934677688,0.7107992123821661,0.9825930699571515,0.929180194367806,0.926667969199635,1
215,4620.0,1190052.26957798,0.9216827543148731,0.9216827543148731,0.885120846882814,0.7415183091695181,0.5404387644634051,0.5405726061757351,0.8364653317487437,0.7555041885179005,0.7333681395227694,1.0640494350697445,0.5339177039566405,0.5330898881712103,1
222,4760.0,1189877.1592378616,0.8303466877779716,0.8303466877779716,0.7874969957010206,0.6588963353311069,0.4768404671985268,0.4770959809922736,0.7495398597194851,0.677071803083675,0.6510653167375425,1.1686113775533424,0.7644785294644459,0.7611243344591561,1
230,4920.0,1191517.464518547,0.7922440011477008,0.7922440011477008,0.7462004046366763,0.6139566737973479,0.4371357359290785,0.4375493709468459,0.7087289166722426,0.6398195874544539,0.6116635087594812,1.2473229952163372,0.9418046351638664,0.9350131715396008,1
237,5060.0,1189922.000169754,0.7459123937885238,0.7459123937885238,0.7099163888495581,0.6217757740885533,0.4183748378657682,0.41860161942425816,0.686655085341522,0.6047407726317673,0.5827557785821641,1.2836547713138367,0.3911985240643272,0.39101583545767954,1
244,5200.0,1189878.4531354904,0.7388908182589,0.7388908182589,0.6993455416971878,0.5955089967726293,0.3972613819968942,0.3978452854076067,0.6710404632153154,0.5932015875456627,0.568931040554474,1.377531528407235,0.953224699812081,0.94838191814073,1
251,5340.0,1181874.0767240524,0.7183689504629667,0.7183689504629667,0.675623853645753,0.5857295958029826,0.406715138108043,0.4069990405550838,0.6554132697728928,0.583725600156233,0.5577256541651534,1.4879603430569108,0.7172469446805242,0.7147295289361805,0
258,5480.0,1183545.1049804688,0.3469690711726768,0.3469690711726768,0.3050029899187138,0.3324419554926759,0.135870974710266,0.13635721337761342,0.3397831588838861,0.2634847795596055,0.2362415220695369,1.4764864083303695,0.9807782632617804,0.9765597330408822,0
265,5620.0,1185146.0418701172,0.396164222944511,0.396164222944511,0.34701593988022794,0.3069105591015959,0.22849352114598795,0.22894776800945488,0.354358704443169,0.32338474047712906,0.29397035820595,1.5281771176207315,0.9415118290446066,0.9399250437820263,1
273,5780.0,1179029.8690795898,0.4666543181323395,0.4666543181323395,0.4353397829625971,0.39716223895658426,0.45568593338172636,0.45591675405093457,0.4333036445061163,0.4612027333578661,0.44574702088419027,1.584077437425406,0.4844039141677971,0.48388637218341657,1
280,5920.0,1188734.269618988,0.43999705961651836,0.43999705961651836,0.422433133063669,0.397291649144432,0.5073255686294132,0.5072672091555792,0.41918854167968644,0.4748561071821334,0.46678141211624824,1.574694680767617,0.6947623861742518,0.6939329363881941,0
287,6060.0,1174134.0453624725,0.52185916191865,0.52185916191865,0.5186228232898246,0.6563946097145446,0.7689525464890797,0.7691945224187612,0.5929548332464898,0.6571244188243487,0.6559839350762086,1.6474885615525459,0.6240917180178923,0.6237463693427606,1
