frame,time_ms,plasma_current_a_boundary,p_persistence_nrmse,p_prior_nrmse,p_posterior_nrmse,ff_persistence_nrmse,ff_prior_nrmse,ff_posterior_nrmse,joint_persistence_nrmse,joint_prior_nrmse,joint_posterior_nrmse,psi_transport_nrmse,innovation_prior_rms,innovation_posterior_rms,widened_channels
36,1020.0,958270.9653005004,0.0,0.0,0.0035620017231776093,0.0,0.20371806193300848,0.20370369246364753,0.0,0.14405042304301136,0.14406228198178767,0.8718428543701159,0.5251282347135124,0.5236599340628247,1
43,1160.0,1078180.6954145432,0.04482832026329084,0.04482832026329084,0.0457104833395697,0.1652888469317334,0.3423486234265512,0.3423628447963551,0.12109909417012615,0.24414356254024264,0.24423530230516455,0.9540084218084991,0.48130795150068106,0.47857846739551985,1
50,1300.0,1182045.3019738197,0.40915093928459584,0.40915093928459584,0.4114311071639403,0.136435651108765,0.23089139035220493,0.230927951349901,0.30497473502811645,0.3322012381495901,0.333619000250891,0.9591340758694319,0.6618150871202916,0.6500305348907882,1
58,1460.0,1192661.297172308,0.5917409776288431,0.5917409776288431,0.5932799645233665,0.17798166081264072,0.1286305190366972,0.12864011992938926,0.436940989259857,0.42819574672851973,0.42926064154560845,0.9860575086665128,0.3588297750695205,0.35860023542520614,1
65,1600.0,1184280.0714671612,0.5450046431741602,0.5450046431741602,0.5219041522387332,1.0528308533033965,1.0686611498835965,1.0686683046671588,0.8382967454156528,0.8482531209349967,0.840962510913599,0.8945799580220063,0.9619071121793346,0.9491978660479778,1
72,1740.0,1193788.0629301071,0.8562113422859645,0.8562113422859645,0.8305439668364802,1.2535111827643222,1.2361680207360164,1.236243074371676,1.0734030342733207,1.0632989321328066,1.053114480904239,0.8108781694303734,0.6026584338775698,0.5989006470408211,1
79,1880.0,1197633.0024003983,0.8212217184100253,0.8212217184100253,0.7996311575164089,0.8697026864631677,0.798315225172346,0.7983024504788027,0.8458096339098905,0.8098494642618123,0.7989670802077808,0.7476266180207197,0.6829799955163397,0.6780570100800625,1
86,2020.0,1194625.09059906,0.7758006157239309,0.7758006157239309,0.7457373011438176,0.8914613472791735,0.837306250065111,0.8373251763068276,0.8356344682486564,0.8071395021171149,0.7928548332433009,0.6706437276618197,0.7044307698362974,0.6960747376175883,1
93,2160.0,1192213.7298583984,0.8580306105324248,0.8580306105324248,0.8227108528977005,0.9189000470861872,0.8424096036971255,0.8424505485355902,0.8889864524124209,0.8502559817524936,0.8326391998349522,0.6643495421182595,0.7371896337842128,0.732074842142833,1
101,2320.0,1167623.9669322968,0.8967616252639917,0.8967616252639917,0.8763485052345219,0.743698491484001,0.5649128420563465,0.5648468112806941,0.8237927102073963,0.7494357649813274,0.7372376220869188,0.6190483790631727,0.7838709523604633,0.7817599319411891,0
108,2460.0,1193420.591711998,0.8967558007910748,0.8967558007910748,0.873665976708376,0.7888797022346097,0.624922391788278,0.6249156193257582,0.8445419323071556,0.7728838729106798,0.7595432081636622,0.5691202263256437,0.7243546757547304,0.7240740286169679,0
115,2600.0,1187673.4001636505,1.440958745920403,1.440958745920403,1.4285840062649255,1.1059651516484514,0.9043981589982714,0.9043397766806863,1.2844300339265822,1.2029750906490049,1.1955506460712608,0.475446689151913,0.47411254189527746,0.47390988235486986,1
122,2740.0,1195686.8102550507,1.277331524915729,1.277331524915729,1.2590245142278669,0.9799594553394017,0.7861595971060028,0.7861296302295522,1.138397197522165,1.0605712462313446,1.0495576503821904,0.43412165548292925,0.5168876130041538,0.5161352515873535,1
129,2880.0,1188290.1725769043,1.030369476737234,1.030369476737234,1.0128255315109629,0.8011415285639047,0.6071173082111929,0.607158278886875,0.9229000507588758,0.8456514307092982,0.8350020158362903,0.39101100440487474,0.6947550556929376,0.6946914567488505,0
136,3020.0,1169539.2708778381,1.0244194069377976,1.0244194069377976,0.9991310591647988,0.8145737856887788,0.6352638826550481,0.6353687985023224,0.9254635524001303,0.8523483213794568,0.8372444038326137,0.37973180310058147,0.8601048617657459,0.8530147148518887,1
144,3180.0,1196476.334452629,1.0609912555812515,1.0609912555812515,1.040175226451949,0.8198893937313795,0.6199103316128382,0.6199568515207734,0.9481352916048136,0.868904846246187,0.8562449998312147,0.3582716345213072,0.6664796119041859,0.6663313981415374,0
151,3320.0,1185318.7628984451,0.8710979875864084,0.8710979875864084,0.8431420224678458,0.703028515523745,0.5401734512693601,0.5403119716375892,0.7915367324441145,0.7247755036676331,0.7081050404940175,0.42285771758071017,0.6028716517444205,0.6015227645275274,1
158,3460.0,1192707.8796625137,0.959721126413594,0.959721126413594,0.9364945619081442,0.761815091653367,0.5731677379493407,0.5732008376336962,0.8664372090219249,0.7904384531102159,0.7763959250110404,0.46936773821895383,0.5829300498962222,0.5827874449845873,0
165,3600.0,1187177.2476434708,0.8051139840479467,0.8051139840479467,0.776961189675436,0.6413264478878187,0.48147072239321026,0.48159166759108235,0.7278420639362513,0.6633334696181842,0.6463742045266923,0.5081714669591189,0.6654545077830281,0.6637676633522175,1
172,3740.0,1185641.7770385742,0.9518091003970435,0.9518091003970435,0.9280705783844881,0.7684783627846952,0.5669842519563749,0.5670246234697922,0.865014322906527,0.7833938044065575,0.7690357345676396,0.580965367758021,1.1910845189515862,1.1764324268276731,1
