scope,regime,target,model,frames,values,explained_variance,mse
d3d_shot_03abb11dc9,all,psi,tuned_transport,183,4392,-3.3230402533733887,0.27025047557323995
d3d_shot_03abb11dc9,all,psi,default_transport,183,4392,-4.509861437219559,0.34444339781229183
d3d_shot_03abb11dc9,all,psi,persistence,183,4392,-4.0128002524537685,0.3133701221315644
d3d_shot_03abb11dc9,ramp,ff_prime,tuned_transport,32,768,-0.2556379771461199,0.013142847802448959
d3d_shot_03abb11dc9,ramp,ff_prime,default_transport,32,768,-0.2556215626098344,0.01314267599038523
d3d_shot_03abb11dc9,ramp,ff_prime,persistence,32,768,-0.2556690569505429,0.013143173116868157
d3d_shot_03abb11dc9,ramp,psi,tuned_transport,32,768,-14.087881545122345,0.39920058777908257
d3d_shot_03abb11dc9,ramp,psi,default_transport,32,768,-16.587234438880778,0.46532936412663223
d3d_shot_03abb11dc9,ramp,psi,persistence,32,768,-18.18137811667843,0.5075077899896628
d3d_shot_03abb11dc9,flat_top,ff_prime,tuned_transport,21,504,-0.10917741549482063,0.014680053664430768
d3d_shot_03abb11dc9,flat_top,ff_prime,default_transport,21,504,-0.10919006307808954,0.014680221056228075
d3d_shot_03abb11dc9,flat_top,ff_prime,persistence,21,504,-0.10919229047513146,0.014680250536009803
d3d_shot_03abb11dc9,flat_top,psi,tuned_transport,21,504,-10.398611831136687,0.3170423733577254
d3d_shot_03abb11dc9,flat_top,psi,default_transport,21,504,-7.375395830980976,0.23295427648577197
d3d_shot_03abb11dc9,flat_top,psi,persistence,21,504,-22.21180777239044,0.6456160394882136
d3d_shot_00000a10ac,all,ff_prime,tuned_transport,59,1416,-1.5291476371694719,0.007439014487702707
d3d_shot_00000a10ac,all,ff_prime,default_transport,59,1416,-1.5307628726694111,0.007443765400661884
d3d_shot_00000a10ac,all,ff_prime,persistence,59,1416,-1.5244582466825873,0.007425221523125332
d3d_shot_00000a10ac,all,psi,tuned_transport,59,1416,-2.3494506935192967,0.48820858678114604
d3d_shot_00000a10ac,all,psi,default_transport,59,1416,-2.9035492049527116,0.568972770510691
d3d_shot_00000a10ac,all,psi,persistence,59,1416,-2.494472405629785,0.5093466334641538
d3d_shot_00000a10ac,ramp,ff_prime,tuned_transport,46,1104,-1.8882368701082064,0.008121163450489676
d3d_shot_00000a10ac,ramp,ff_prime,default_transport,46,1104,-1.8899374138914924,0.008125945050697646
d3d_shot_00000a10ac,ramp,ff_prime,persistence,46,1104,-1.8831922574891147,0.0081069789755084
d3d_shot_00000a10ac,ramp,psi,tuned_transport,46,1104,-3.723113527454144,0.5315014189370395
d3d_shot_00000a10ac,ramp,psi,default_transport,46,1104,-4.5167703540845014,0.6208132102058973
d3d_shot_00000a10ac,ramp,psi,persistence,46,1104,-3.9261662628204137,0.554351349674231
d3d_shot_00000a10ac,flat_top,ff_prime,tuned_transport,9,216,-2.3408923469311262,0.0013669466491623668
d3d_shot_00000a10ac,flat_top,ff_prime,default_transport,9,216,-2.3413861793593496,0.0013671487037372853
d3d_shot_00000a10ac,flat_top,ff_prime,persistence,9,216,-2.339051538333631,0.0013661934710043197
d3d_shot_00000a10ac,flat_top,psi,tuned_transport,9,216,-1.3037620691062997,0.02018417091929448
d3d_shot_00000a10ac,flat_top,psi,default_transport,9,216,-2.1584863399737286,0.027672748408874414
d3d_shot_00000a10ac,flat_top,psi,persistence,9,216,-1.5647658050653965,0.022470927910313302
d3d_shot_002495e835,all,ff_prime,tuned_transport,293,7032,-0.5545162994118236,0.0376020879536944
d3d_shot_002495e835,all,ff_prime,default_transport,293,7032,-0.5545411209676498,0.037602688360602765
d3d_shot_002495e835,all,ff_prime,persistence,293,7032,-0.5544928365668838,0.03760152041255032
d3d_shot_002495e835,all,psi,tuned_transport,293,7032,-0.584825191366926,0.57232274189707
d3d_shot_002495e835,all,psi,default_transport,293,7032,-4.871835802051941,2.1204768730999373
d3d_shot_002495e835,all,psi,persistence,293,7032,-2.783610599949426,1.3663629305173757
d3d_shot_002495e835,ramp,ff_prime,tuned_transport,60,1440,-0.3414718448546874,0.0050087402154256385
d3d_shot_002495e835,ramp,ff_prime,default_transport,60,1440,-0.3415413610914535,0.005008999772696296
d3d_shot_002495e835,ramp,ff_prime,persistence,60,1440,-0.34136798440830773,0.005008352424957602
d3d_shot_002495e835,ramp,psi,tuned_transport,60,1440,0.03589043653182866,0.06722628910022153
d3d_shot_002495e835,ramp,psi,default_transport,60,1440,0.6963418263337335,0.021173747200576996
d3d_shot_002495e835,ramp,psi,persistence,60,1440,-1.6507535714357542,0.18483410255339486
d3d_shot_002495e835,flat_top,ff_prime,tuned_transport,233,5592,-0.6799994966211542,0.04599522471033015
d3d_shot_002495e835,flat_top,ff_prime,default_transport,233,5592,-0.6800246327296138,0.04599591288967739
d3d_shot_002495e835,flat_top,ff_prime,persistence,233,5592,-0.6799770762024651,0.045994610881458314
d3d_shot_002495e835,flat_top,psi,tuned_transport,233,5592,-1.3917263361187469,0.7023904979820954
d3d_shot_002495e835,flat_top,psi,default_transport,233,5592,-8.061271623811828,2.661069952730674
d3d_shot_002495e835,flat_top,psi,persistence,233,5592,-4.688664843320915,1.6706192810660405
d3d_shot_001270afa9,all,ff_prime,tuned_transport,252,6048,-0.27812347421836536,0.013476730768135551
d3d_shot_001270afa9,all,ff_prime,default_transport,252,6048,-0.27831946572264843,0.01347879733274323
d3d_shot_001270afa9,all,ff_prime,persistence,252,6048,-0.273693497556595,0.01343002041191092
d3d_shot_001270afa9,all,psi,tuned_transport,252,6048,-2.625355154366356,1.7664835216234436
d3d_shot_001270afa9,all,psi,default_transport,252,6048,-2.435330391742772,1.6738924243151752
d3d_shot_001270afa9,all,psi,persistence,252,6048,-4.222792949430647,2.5448479636287855
d3d_shot_001270afa9,ramp,ff_prime,tuned_transport,23,552,-0.34925011931136996,0.017660823788664157
d3d_shot_001270afa9,ramp,ff_prime,default_transport,23,552,-0.34931075105978904,0.017661617419592553
d3d_shot_001270afa9,ramp,ff_prime,persistence,23,552,-0.3492232143062248,0.017660471619301264
d3d_shot_001270afa9,ramp,psi,tuned_transport,23,552,-24.83200687653231,2.901901762004028
d3d_shot_001270afa9,ramp,psi,default_transport,23,552,-24.509509887611664,2.8656732728718106
d3d_shot_001270afa9,ramp,psi,persistence,23,552,-28.231751791554363,3.2838204339222163
d3d_shot_001270afa9,flat_top,ff_prime,tuned_transport,76,1824,-0.001593216511617479,0.006910837454585823
d3d_shot_001270afa9,flat_top,ff_prime,default_transport,76,1824,-0.001617146359720767,0.0069110025668168455
d3d_shot_001270afa9,flat_top,ff_prime,persistence,76,1824,-0.001568477200708518,0.006910666757187307
d3d_shot_001270afa9,flat_top,psi,tuned_transport,76,1824,-26.9940891768901,2.3912887197443404
d3d_shot_001270afa9,flat_top,psi,default_transport,76,1824,-21.234736310223628,1.8993178806124797
d3d_shot_001270afa9,flat_top,psi,persistence,76,1824,-54.57448997833315,4.7472396815982565
d3d_shot_0150a57d75,all,ff_prime,tuned_transport,236,5664,-0.04663343893805427,0.006679390796753367
d3d_shot_0150a57d75,all,ff_prime,default_transport,236,5664,-0.046669292629290204,0.006679619607343934
d3d_shot_0150a57d75,all,ff_prime,persistence,236,5664,-0.04660847667531831,0.006679231492930479
d3d_shot_0150a57d75,all,psi,tuned_transport,236,5664,0.6883340893130351,0.07235102786288564
d3d_shot_0150a57d75,all,psi,default_transport,236,5664,0.49576291417749674,0.11705505862168714
d3d_shot_0150a57d75,all,psi,persistence,236,5664,-4.8732729461187505,1.3634386052498833
d3d_shot_0150a57d75,ramp,ff_prime,tuned_transport,20,480,-1.7431639142412818,0.004128837874492258
d3d_shot_0150a57d75,ramp,ff_prime,default_transport,20,480,-1.743259809230465,0.0041289822096015295
d3d_shot_0150a57d75,ramp,ff_prime,persistence,20,480,-1.7426175226990992,0.0041280154802919135
d3d_shot_0150a57d75,ramp,psi,tuned_transport,20,480,-1.109927429966047,0.03819488483458577
d3d_shot_0150a57d75,ramp,psi,default_transport,20,480,-0.5418291712407772,0.027910906694593736
d3d_shot_0150a57d75,ramp,psi,persistence,20,480,-2.4628155649574133,0.06268549326793092
d3d_shot_0150a57d75,flat_top,ff_prime,tuned_transport,216,5184,-0.029620530254951483,0.006915553104370139
d3d_shot_0150a57d75,flat_top,ff_prime,default_transport,216,5184,-0.02965576121445812,0.006915789736764527
d3d_shot_0150a57d75,flat_top,ff_prime,persistence,216,5184,-0.02960595345847694,0.00691545519780442
d3d_shot_0150a57d75,flat_top,psi,tuned_transport,216,5184,0.5768179474482639,0.07551363369883932
d3d_shot_0150a57d75,flat_top,psi,default_transport,216,5184,0.297761485797445,0.12530914676308466
d3d_shot_0150a57d75,flat_top,psi,persistence,216,5184,-7.3157279913584095,1.483878708211175
pooled,all,ff_prime,tuned_transport,4141,99383,-0.11955968429700348,0.02418898135976571
pooled,all,ff_prime,default_transport,4141,99383,-0.11965292428878138,0.024190995884274525
pooled,all,ff_prime,persistence,4141,99383,-0.11891221702910126,0.02417499231220173
pooled,all,psi,tuned_transport,4141,99383,-0.29544114502158303,0.7902748156773876
pooled,all,psi,default_transport,4141,99383,-0.3878102204732925,0.8466239245175844
pooled,all,psi,persistence,4141,99383,-1.9290664797949288,1.786856532481208
pooled,ramp,ff_prime,tuned_transport,833,19992,-0.11190302254165063,0.02283737085146727
pooled,ramp,ff_prime,default_transport,833,19992,-0.11198908934584018,0.022839138577146065
pooled,ramp,ff_prime,persistence,833,19992,-0.11158871670443782,0.022830915325382988
pooled,ramp,psi,tuned_transport,833,19992,-0.8906932879254656,0.7032419309199394
pooled,ramp,psi,default_transport,833,19992,-0.9921161535948915,0.7409660886922773
pooled,ramp,psi,persistence,833,19992,-1.388013315194097,0.8882197369422434
pooled,flat_top,ff_prime,tuned_transport,2353,56471,-0.1352718400968842,0.024546442210414306
pooled,flat_top,ff_prime,default_transport,2353,56471,-0.1353036641404921,0.024547130298517728
pooled,flat_top,ff_prime,persistence,2353,56471,-0.1352149132757292,0.024545211359021407
pooled,flat_top,psi,tuned_transport,2353,56471,-0.28655967878660293,0.8088658185583322
pooled,flat_top,psi,default_transport,2353,56471,-0.3556972080985914,0.8523328921516731
pooled,flat_top,psi,persistence,2353,56471,-2.9555405771654315,2.4868660347005203
