scope,regime,target,model,frames,values,explained_variance,mse
d3d_shot_013ac85065,all,ff_prime,tuned_transport,285,6840,-0.9754131739031404,0.03399615532630463
d3d_shot_013ac85065,all,ff_prime,default_transport,285,6840,-0.9754775928187007,0.03399726395283819
d3d_shot_013ac85065,all,ff_prime,persistence,285,6840,-0.9753006480990756,0.0339942187973983
d3d_shot_013ac85065,all,psi,tuned_transport,285,6840,-0.15957885181496634,1.433089165850834
d3d_shot_013ac85065,all,psi,default_transport,285,6840,0.511164799192961,0.6041369494334916
d3d_shot_013ac85065,all,psi,persistence,285,6840,-2.839993291544373,4.7457340002698185
d3d_shot_013ac85065,ramp,ff_prime,tuned_transport,48,1152,-0.9013997666224416,0.006825002604625054
d3d_shot_013ac85065,ramp,ff_prime,default_transport,48,1152,-0.9015210915338037,0.006825438095809279
d3d_shot_013ac85065,ramp,ff_prime,persistence,48,1152,-0.9008375970186002,0.0068229847180775694
d3d_shot_013ac85065,ramp,psi,tuned_transport,48,1152,-0.9511972823813897,0.09877363783356125
d3d_shot_013ac85065,ramp,psi,default_transport,48,1152,-0.443335738594242,0.0730646371863269
d3d_shot_013ac85065,ramp,psi,persistence,48,1152,-2.478074726602264,0.17606732876554113
d3d_shot_013ac85065,flat_top,ff_prime,tuned_transport,237,5688,-1.114377008082175,0.03949917359904986
d3d_shot_013ac85065,flat_top,ff_prime,default_transport,237,5688,-1.1144436502366597,0.03950041855679341
d3d_shot_013ac85065,flat_top,ff_prime,persistence,237,5688,-1.1142742283988443,0.03949725354764047
d3d_shot_013ac85065,flat_top,psi,tuned_transport,237,5688,-0.8641021587806825,1.7033302854492691
d3d_shot_013ac85065,flat_top,psi,default_transport,237,5688,0.22112941184267043,0.711695898749373
d3d_shot_013ac85065,flat_top,psi,persistence,237,5688,-5.206525867410583,5.671236110954229
d3d_shot_0248065d53,all,ff_prime,tuned_transport,246,5904,-0.04099622440778816,0.007568860785242346
d3d_shot_0248065d53,all,ff_prime,default_transport,246,5904,-0.041023486103143325,0.007569058999195554
d3d_shot_0248065d53,all,ff_prime,persistence,246,5904,-0.041008953883924226,0.007568953338539356
d3d_shot_0248065d53,all,psi,tuned_transport,246,5904,0.16804625847073262,0.12676640000065656
d3d_shot_0248065d53,all,psi,default_transport,246,5904,0.14132361892767176,0.13083818025031585
d3d_shot_0248065d53,all,psi,persistence,246,5904,-5.790345969374638,1.034658143028869
d3d_shot_0248065d53,ramp,ff_prime,tuned_transport,34,816,-0.39655163366303214,0.012055303703290731
d3d_shot_0248065d53,ramp,ff_prime,default_transport,34,816,-0.39655510971039387,0.012055333709203597
d3d_shot_0248065d53,ramp,ff_prime,persistence,34,816,-0.3964429372986349,0.012054365415258504
d3d_shot_0248065d53,ramp,psi,tuned_transport,34,816,0.528018532683149,0.08118932037023267
d3d_shot_0248065d53,ramp,psi,default_transport,34,816,0.13389948172240496,0.14898490157042166
d3d_shot_0248065d53,ramp,psi,persistence,34,816,-1.292790741387305,0.39440133762589197
d3d_shot_0248065d53,flat_top,ff_prime,tuned_transport,212,5088,-0.016815216299943536,0.00684933692102704
d3d_shot_0248065d53,flat_top,ff_prime,default_transport,212,5088,-0.01684864688564902,0.006849562111741433
d3d_shot_0248065d53,flat_top,ff_prime,persistence,212,5088,-0.016853499299509522,0.006849594797933456
d3d_shot_0248065d53,flat_top,psi,tuned_transport,212,5088,-0.23562094999385885,0.1340759316394981
d3d_shot_0248065d53,flat_top,psi,default_transport,212,5088,-0.1789613414465665,0.12792785701973286
d3d_shot_0248065d53,flat_top,psi,persistence,212,5088,-9.481539451729232,1.1373408382350068
d3d_shot_011e881b81,all,ff_prime,tuned_transport,122,2928,-0.01164032601870546,0.01174926896623074
d3d_shot_011e881b81,all,ff_prime,default_transport,122,2928,-0.011710685693721024,0.01175008612893657
d3d_shot_011e881b81,all,ff_prime,persistence,122,2928,-0.011873982843755515,0.011751982674663177
d3d_shot_011e881b81,all,psi,tuned_transport,122,2928,-0.1870699820644437,0.21596233059373535
