frame,time_ms,plasma_current_a_boundary,p_persistence_nrmse,p_prior_nrmse,p_posterior_nrmse,ff_persistence_nrmse,ff_prior_nrmse,ff_posterior_nrmse,joint_persistence_nrmse,joint_prior_nrmse,joint_posterior_nrmse,innovation_prior_rms,innovation_posterior_rms,asymmetry_target,asymmetry_prior,asymmetry_posterior,asymmetry_prior_beta_p,asymmetry_prior_li,asymmetry_posterior_beta_p,asymmetry_posterior_li,asymmetry_sigma,asymmetry_inboard_radius_m,asymmetry_outboard_radius_m,asymmetry_log_temperature_mismatch,widened_channels
36,1020.0,958270.9653005004,0.0,0.0,0.004146098510292377,0.0,0.20371806193300848,0.20161096341739249,0.0,0.14405042304301136,0.14259062154108562,0.6265909362209676,0.6232862326827142,0.2801597579516252,0.6646604394040436,0.6612026302935132,0.1841770545532796,0.9609667697015281,0.18531166531880264,0.9517819299494211,0.29682207858197607,1.6717000007629395,1.819100022315979,0.10846912069505699,2
43,1160.0,1078180.6954145432,0.04482832026329084,0.04482832026329084,0.048482620178589335,0.1652888469317334,0.3423486234265512,0.34012389749117,0.12109909417012615,0.24414356254024264,0.24293500170206564,0.6341509651754129,0.626931171634728,0.2801597579516252,0.615255152979971,0.606574159942993,0.13479053018388173,0.9609292455921785,0.13675549062587872,0.9396373386342285,0.21957099678048494,1.6717000007629395,1.819100022315979,2.3300480433974258e-05,2
50,1300.0,1182045.3019738197,0.40915093928459584,0.40915093928459584,0.41520019335166547,0.136435651108765,0.23089139035220493,0.22985417211447737,0.30497473502811645,0.3322012381495901,0.3355772198747199,0.7102892225949121,0.6969869290772571,0.2801597579516252,0.5890571141229964,0.5757964940735085,0.10770701311370412,0.9627002020185846,0.11109050886704791,0.9294119704129212,0.2667018075205267,1.6717000007629395,1.819100022315979,0.06618599113657098,2
58,1460.0,1192661.297172308,0.5917409776288431,0.5917409776288431,0.5975748236790116,0.17798166081264072,0.1286305190366972,0.13067126872796578,0.436940989259857,0.42819574672851973,0.4325336116222519,0.4040183142831972,0.4023954942880027,0.4127017674440721,0.5826519274149424,0.5679646990420799,0.10041299928200204,0.9644778562658807,0.10330833517441813,0.9293127277353236,0.21328806604242145,1.6717000007629395,1.8786998987197876,0.11226937903594703,2
65,1600.0,1184280.0714671612,0.5450046431741602,0.5450046431741602,0.5210371328395426,1.0528308533033965,1.0686611498835965,1.074692448341857,0.8382967454156528,0.8482531209349967,0.8445245858826923,0.9235166908403977,0.9103154916452942,0.4889804945247621,0.5641978684615341,0.5457115195208857,0.08294700678605814,0.9625017233509519,0.08655579244305223,0.9183114541556668,0.17159876951017755,1.6717000007629395,1.9129999876022339,0.08613769254309211,2
72,1740.0,1193788.0629301071,0.8562113422859645,0.8562113422859645,0.8296958084182986,1.2535111827643222,1.2361680207360164,1.2426622026980436,1.0734030342733207,1.0632989321328066,1.0565520537392485,0.5756303333862419,0.5720047386348736,0.5503589822992616,0.5731505092158896,0.5550790173524041,0.09132964542955614,0.9636417275726669,0.09575037727744994,0.9186572801499082,0.16127677259361564,1.6717000007629395,1.9405999183654785,0.10480940718291798,2
79,1880.0,1197633.0024003983,0.8212217184100253,0.8212217184100253,0.8007216448584449,0.8697026864631677,0.798315225172346,0.8051831573579395,0.8458096339098905,0.8098494642618123,0.8029554998372307,0.6555238299986929,0.6507537816482751,0.5503589822992616,0.5887864327004675,0.5722097678110398,0.10595687597456672,0.9656591134518016,0.11166603834499984,0.92108745893208,0.16040319934667702,1.6717000007629395,1.9405999183654785,0.10257222838176006,2
86,2020.0,1194625.09059906,0.7758006157239309,0.7758006157239309,0.7457665400725965,0.8914613472791735,0.837306250065111,0.8441855197403934,0.8356344682486564,0.8071395021171149,0.7964976221029193,0.673907151537874,0.665773465492385,0.5503589822992616,0.5926408247706518,0.576038225661884,0.11021925897472223,0.9648431315918593,0.11722053800333855,0.9176353753170908,0.1784752830212281,1.6717000007629395,1.9405999183654785,0.14885395991502648,2
93,2160.0,1192213.7298583984,0.8580306105324248,0.8580306105324248,0.8223096136056103,0.9189000470861872,0.8424096036971255,0.8491879359639124,0.8889864524124209,0.8502559817524936,0.8358568212364058,0.7135064813954286,0.7089121538279112,0.6588837837151259,0.6045906187086325,0.5896198494834662,0.12069710928875375,0.9677870188397575,0.12899001304944652,0.9212596728680394,0.17030462576213545,1.6717000007629395,1.989400029182434,0.17837204401162232,1
101,2320.0,1167623.9669322968,0.8967616252639917,0.8967616252639917,0.8781848841024372,0.743698491484001,0.5649128420563465,0.5719020212188302,0.8237927102073963,0.7494357649813274,0.7410400166455906,0.7581751542259207,0.7555004556684172,0.5503589822992616,0.6117017961181459,0.5966687770626442,0.1271691347872333,0.9690653226618251,0.1362654688701168,0.9208066163850549,0.12204711686181757,1.6717000007629395,1.9405999183654785,0.004344157717618202,1
