channel,prior_mean,prior_rms,posterior_mean,posterior_rms,prior_lag1,prior_whiteness_p,posterior_lag1,posterior_whiteness_p
isoflux_pair_00,0.5573151021019617,0.6624925965809791,0.5549139389171421,0.6599025185901732,0.2602916231418327,0.20929800655387146,0.2585787185388462,0.22067469496662023
isoflux_pair_01,0.07359697824772965,0.33757962541466385,0.07152382337230508,0.33592186326757817,0.37706828873046344,0.0014937479795639748,0.3752868853969242,0.00160577219578452
isoflux_pair_02,-0.3373066852114579,0.42664640690428257,-0.3394678263393321,0.42732729076591347,0.3442026895700329,0.011880459538704015,0.3417705133688014,0.012853609316305793
isoflux_pair_03,0.6354838619091209,0.7014340572810869,0.6330440126598427,0.698376797667215,0.3617104493451532,0.013522188131521597,0.35688801244140816,0.01425639071302912
isoflux_pair_04,0.18509430771857968,0.29637344021490214,0.18338364919521066,0.2947825429391369,-0.0059149047845437315,0.7402064422575795,-0.007424896604054082,0.741624744536558
isoflux_pair_05,-0.20155486255325678,0.41881201053817674,-0.20217207981366644,0.4192782636237355,-0.04489099469924099,0.45991314414807705,-0.044625376561633796,0.4584390584279574
isoflux_pair_06,-0.08224426363078624,0.57559889914753,-0.08304482626861166,0.5713531919346325,-0.10387924894529563,0.8488636107572738,-0.0984736019630769,0.8496271633117136
isoflux_pair_07,0.3066626030048938,1.0678383827479665,0.30210431033441953,1.0536019019919172,-0.0033774378439039225,0.9973126352332042,-0.005430227518120968,0.9973696598723613
isoflux_pair_08,0.05316233938489879,1.1377513667902592,0.048479846196194006,1.1274911847073281,-0.28527756346788863,0.3094461125814972,-0.28654172152902607,0.30864088116771077
isoflux_pair_09,-0.19084518746102744,1.2979153937271761,-0.20062273262823258,1.2686169030171066,-0.03491022219660864,0.8515737200982668,-0.03273786114392338,0.8288900383432294
pedestal_foot,0.6076543115222833,0.6924968475691672,0.6076543115222833,0.6924968475691672,0.13496475216740553,0.46259927835862125,0.13496475216740553,0.46259927835862125
