channel,prior_mean,prior_rms,posterior_mean,posterior_rms,prior_lag1,prior_whiteness_p,posterior_lag1,posterior_whiteness_p
isoflux_pair_00,0.5578434324591758,0.6629375832964932,0.5555490851171854,0.6604473468302605,0.26006350628509606,0.20906257119484753,0.25849871724289447,0.2199107378074039
isoflux_pair_01,0.07408699246616723,0.3377342471616285,0.0721138223378502,0.33611510080111495,0.3771557206692857,0.0014882064770936458,0.3755173565971077,0.0015951280799614625
isoflux_pair_02,-0.3368242504163607,0.426320159680293,-0.33888876368576676,0.4269427464100847,0.3444928539067976,0.011887068204312361,0.3421950690199527,0.012826111646755463
isoflux_pair_03,0.6359677946078169,0.7018736206921224,0.6336195377921083,0.6988956152973135,0.3611702081133947,0.013467333342443466,0.3563079372268707,0.014114683611943417
isoflux_pair_04,0.18538429665992492,0.296552223680871,0.1837342333149472,0.2949907939554907,-0.006338289044059839,0.7399650926044682,-0.007918028188970118,0.7410060448997852
isoflux_pair_05,-0.20149204457372605,0.4187771711171385,-0.20208457558345883,0.4192457318397202,-0.044985612406646544,0.46019763463271457,-0.04466040981565296,0.4588296783730853
isoflux_pair_06,-0.08284990513540212,0.5747687296978496,-0.08362433721269974,0.5705632119331385,-0.10307930018852451,0.8490240329205017,-0.09779495429068494,0.8491375535423799
isoflux_pair_07,0.305496300887623,1.0652639112553886,0.30090593097547325,1.050923669636805,-0.0032526858766938685,0.997281604868807,-0.00517706082570754,0.9973340537066168
isoflux_pair_08,0.051713992784774274,1.1355087543609652,0.04692342662359016,1.125218031216545,-0.2855622233450056,0.3092396376659895,-0.28682811148368126,0.3086801928738259
isoflux_pair_09,-0.19309526197211252,1.2945888080836279,-0.20314967371150255,1.2651142179762043,-0.03519615664608827,0.8494798439258249,-0.033384746383562064,0.8264004262864537
pedestal_foot,0.6076543115222833,0.6924968475691672,0.6076543115222833,0.6924968475691672,0.13496475216740553,0.46259927835862125,0.13496475216740553,0.46259927835862125
isotherm_centre_shift,-0.5269725461980697,0.7755425628619879,-0.5154858628445642,0.7648896012305075,0.4163252868961283,0.0004118706039522524,0.41880981573061654,0.00039810866670259465
